dataset,model,hidden,num_params,top1_acc
mnist,kan_py,[128],2108682,0.9176
mnist,kan_py,[128],2108682,0.9264
mnist,kan_py,[128],2108682,0.9329
mnist,kan_py,[128],2108682,0.9332
mnist,kan_py,[128],2108682,0.9337
mnist,kan_py,[128],2108682,0.9337
mnist,kan_py,[128],2108682,0.9337
mnist,kan_py,[128],2108682,0.9337
mnist,kan_py,[128],2108682,0.9337
mnist,kan_py,[128],2108682,0.9337
mnist,kan_py,[128],2108682,0.9337
mnist,kan_py,[128],2108682,0.9337
mnist,kan_py,[128],2108682,0.9337
mnist,kan_py,[128],2108682,0.9337
mnist,kan_py,[128],2108682,0.9337
mnist,kan_py,[128],2108682,0.9337
mnist,kan_py,[128],2108682,0.9337
mnist,kan_py,[128],2108682,0.9337
mnist,kan_py,[128],2108682,0.9337
mnist,kan_py,[128],2108682,0.9337
mnist,kan_py,[128],2108682,0.9337
mnist,kan_py,[128],2108682,0.9337
mnist,kan_py,[128],2108682,0.9337
mnist,kan_py,[128],2108682,0.9337
mnist,kan_py,[128],2108682,0.9337
mnist,kan_py,[128],2108682,0.9337
mnist,kan_py,[128],2108682,0.9337
mnist,kan_py,[128],2108682,0.9337
mnist,kan_py,[128],2108682,0.9337
mnist,kan_py,[128],2108682,0.9337
mnist,kan_py,[128],2108682,0.9337
mnist,kan_py,[128],2108682,0.9337
mnist,kan_py,[128],2108682,0.9337
mnist,kan_py,[128],2108682,0.9337
mnist,kan_py,[128],2108682,0.9337
mnist,kan_py,[128],2108682,0.9337
mnist,kan_py,[128],2108682,0.9337
mnist,kan_py,[128],2108682,0.9337
mnist,kan_py,[128],2108682,0.9337
mnist,kan_py,[128],2108682,0.9337
mnist,kan_py,[128],2108682,0.9337
mnist,kan_py,[128],2108682,0.9337
mnist,kan_py,[128],2108682,0.9337
mnist,kan_py,[128],2108682,0.9337
mnist,kan_py,[128],2108682,0.9337
mnist,kan_py,[128],2108682,0.9337
mnist,kan_py,[128],2108682,0.9337
mnist,kan_py,[128],2108682,0.9337
mnist,kan_py,[128],2108682,0.9337
mnist,kan_py,[128],2108682,0.9337
mnist,kan_py,[128],2108682,0.9337
mnist,kan_py,[128],2108682,0.9337
mnist,kan_py,[128],2108682,0.9337
mnist,kan_py,[128],2108682,0.9337
mnist,kan_py,[128],2108682,0.9337
mnist,kan_py,[128],2108682,0.9337
mnist,kan_py,[128],2108682,0.9337
mnist,kan_py,[128],2108682,0.9337
mnist,kan_py,[128],2108682,0.9337
mnist,kan_py,[128],2108682,0.9337
mnist,kan_py,[128],2108682,0.9337
mnist,kan_py,[128],2108682,0.9337
mnist,kan_py,[128],2108682,0.9337
mnist,kan_py,[128],2108682,0.9337
mnist,kan_py,[128],2108682,0.9337
mnist,kan_py,[128],2108682,0.9337
mnist,kan_py,[128],2108682,0.9337
mnist,kan_py,[128],2108682,0.9337
mnist,kan_py,[128],2108682,0.9337
mnist,kan_py,[128],2108682,0.9337
mnist,kan_py,[128],2108682,0.9337
mnist,kan_py,[128],2108682,0.9337
mnist,kan_py,[128],2108682,0.9337
mnist,kan_py,[128],2108682,0.9337
mnist,kan_py,[128],2108682,0.9337
mnist,kan_py,[128],2108682,0.9337
mnist,kan_py,[128],2108682,0.9337
mnist,kan_py,[128],2108682,0.9337
